id;name;description;cost;time
1;Kids Kwanza empowering;Future action-items;28178;Lilangeni human-resource deposit
2;data-warehouse Sausages Licensed;Hong Dollar Planner;52329;Salad
3;Computer Diverse Licensed;GB Nepal programming;21656;Rupiah
4;Grocery architecture;front-end Towels Missouri;98669;invoice salmon deposit
5;repurpose Marketing Michigan;Wooden Bedfordshire Alabama;83228;Drive bypass
6;Mill Argentina Frozen;hack;49476;1080p discrete
7;e-business multi-byte Agent;Course invoice;56888;Sudanese
8;Borders Intelligent Franc;programming;89978;Optimization panel Borders
9;extranet;expedite;49730;Home
10;Handmade;Cambridgeshire;65236;withdrawal quantifying
